zpid,home_type,posted,daysOnMarket,home_URL,home_status,home_price,home_address,home_zipcode,num_beds,num_baths,home_area,land_area,sold_price,sold_date,daysOnZillow_soldPage,area,Avg_Sqrt_listing,Avg_Sqrt_sold,difference_Avg_Sqrt,total_Pct_Change_price
31172405,SINGLE_FAMILY,2025-06-27,4,https://www.zillow.com/homedetails/529-8th-Ave-New-Hyde-Park-NY-11040/31172405_zpid/,FOR_SALE,888888,"529 8th Avenue, New Hyde Park, NY 11040",11040,4.0,2.0,2124.0,,,,,New Hyde Park,418,,,
31110407,SINGLE_FAMILY,2025-03-12,111,https://www.zillow.com/homedetails/2-Yorkshire-Rd-New-Hyde-Park-NY-11040/31110407_zpid/,FOR_SALE,929800,"2 Yorkshire Road, New Hyde Park, NY 11040",11040,4.0,2.0,1336.0,6930.0,,,,New Hyde Park,696,,,
31172514,SINGLE_FAMILY,2025-06-10,21,https://www.zillow.com/homedetails/628-8th-Ave-New-Hyde-Park-NY-11040/31172514_zpid/,FOR_SALE,748000,"628 8th Avenue, New Hyde Park, NY 11040",11040,3.0,1.0,1355.0,4000.0,,,,New Hyde Park,552,,,
31100068,SINGLE_FAMILY,2025-04-03,89,https://www.zillow.com/homedetails/22-Primrose-Dr-New-Hyde-Park-NY-11040/31100068_zpid/,FOR_SALE,799000,"22 Primrose Drive, New Hyde Park, NY 11040",11040,4.0,2.0,1383.0,6250.0,,,,New Hyde Park,578,,,
31097135,SINGLE_FAMILY,2025-06-06,25,https://www.zillow.com/homedetails/1779-Aladdin-Ave-New-Hyde-Park-NY-11040/31097135_zpid/,FOR_SALE,899000,"1779 Aladdin Avenue, New Hyde Park, NY 11040",11040,4.0,2.0,1369.0,5000.0,,,,New Hyde Park,657,,,
31186545,MULTI_FAMILY,2025-06-20,11,https://www.zillow.com/homedetails/306-Covert-Ave-New-Hyde-Park-NY-11040/31186545_zpid/,FOR_SALE,899900,"306 Covert Avenue, New Hyde Park, NY 11040",11040,4.0,2.0,1769.0,5763.0,,,,New Hyde Park,509,,,
31095775,SINGLE_FAMILY,2025-04-08,84,https://www.zillow.com/homedetails/2013-New-Hyde-Park-Rd-New-Hyde-Park-NY-11040/31095775_zpid/,FOR_SALE,949000,"2013 New Hyde Park Road, New Hyde Park, NY 11040",11040,4.0,3.0,1671.0,5000.0,,,,New Hyde Park,568,,,
31111282,SINGLE_FAMILY,2025-05-08,54,https://www.zillow.com/homedetails/62-Bretton-Rd-New-Hyde-Park-NY-11040/31111282_zpid/,FOR_SALE,989000,"62 Bretton Road, New Hyde Park, NY 11040",11040,3.0,3.0,1608.0,7150.0,,,,New Hyde Park,615,,,
31098375,SINGLE_FAMILY,2025-06-18,13,https://www.zillow.com/homedetails/145-Gerard-Ave-New-Hyde-Park-NY-11040/31098375_zpid/,FOR_SALE,929000,"145 Gerard Avenue, New Hyde Park, NY 11040",11040,4.0,2.0,1266.0,6100.0,,,,New Hyde Park,734,,,
31181673,SINGLE_FAMILY,2025-06-14,17,https://www.zillow.com/homedetails/104-S-3rd-St-New-Hyde-Park-NY-11040/31181673_zpid/,FOR_SALE,950000,"104 S 3rd Street, New Hyde Park, NY 11040",11040,6.0,3.0,2072.0,5000.0,,,,New Hyde Park,458,,,
31094091,SINGLE_FAMILY,2025-06-13,18,https://www.zillow.com/homedetails/517-N-2nd-St-New-Hyde-Park-NY-11040/31094091_zpid/,FOR_SALE,799000,"517 N 2nd Street, New Hyde Park, NY 11040",11040,3.0,2.0,1720.0,4000.0,,,,New Hyde Park,465,,,
31185948,MULTI_FAMILY,2025-06-20,11,https://www.zillow.com/homedetails/1114-1st-Ave-New-Hyde-Park-NY-11040/31185948_zpid/,FOR_SALE,988888,"1114 1st Avenue, New Hyde Park, NY 11040",11040,4.0,3.0,1400.0,1500.0,,,,New Hyde Park,706,,,
31101012,SINGLE_FAMILY,2025-05-14,48,https://www.zillow.com/homedetails/109-Wilton-St-New-Hyde-Park-NY-11040/31101012_zpid/,FOR_SALE,998000,"109 Wilton Street, New Hyde Park, NY 11040",11040,4.0,2.0,1794.0,4000.0,,,,New Hyde Park,556,,,
